SEP=	
Simbol	Cotatie	Capitalizare	MedieZilnicaTranz	VarYoY	VarYTD	BET_YTD	BET_YoY	VariatieCA	VariatieProfitNet	PE	PBV	GradIndatorare	CapitNetpeAct	ROE	ROA	MarjaOperationala	MarjaNeta	DataURap	PS	PAvgProfit	PBVxPE	PretNWCPS	nume	RandDividendHist	RandDividend	capmln
BRNA	20.8	45173211.2	2799.648148148148	-25.71428571428571	-13.33333333333333	-41.84295027498395	-107.3399369532927				0.6764360711228931	28.22462087792031	-3.2149214311335035	-24.081692874093093	-17.284726359395165		-43.63103253639493	2025-12-31	1.225561856563025				ROMNAV SA BRAILA			45.173211200000004
BTBETRETF	12.472	339862000	4936999.653725804	100	100	71.49038305834938	18.374348760993																FDI BT Index Romania ETF BET-TR			339.862
BTF	1030	2365910	40430.16129032258	68.85245901639345	68.85245901639345	40.34284207474283	-12.773192222613545											2014-12-31					F.I.A.I.R. BET FI Index Invest	2.9508196721311477	1.7475728155339807	2.36591
BUCS	0.282	10571832.576	708.467940677966	-11.875000000000014	8.461538461538453	-20.048078480112164	-93.50065123900701				3.465674648903109	83.09113726464041	-0.21440328473851156	-124.80599520069235	-21.10327441398455		-18.258042659897885	2025-12-31	0.5069983656093514				BUCOVINA SA SCHEIA			10.571832576
BUCU	1.68	186753218.4	12099.928872549017	-87.6470588235294	-13.4020618556701	-41.91167879732072	-169.27271006253642	-1.1903057912005854	2.9437103645074902	15.779684954196611			0.6677035169103142	6.32168513891614	6.073234916040486	35.55399222407673	35.72258713291701	2025-12-31	5.691440970001092	60.804341588508706		2.516086792194712	BUCUR OBOR SA BUCURESTI			186.7532184
BUCV	1.22	101596224.67999999	11183.30901273885	25.773195876288657	8.92857142857142	-19.581045513079196	-55.852455362718345	1025.928383096742		2.9162382114367915	0.5739062055767521	14.261479079456294	0.21169184335088623	16.880773490899553	13.990214798339299	91.20913850015063	81.93684239071939	2025-12-31	2.1301073618197695	31.11375604152983	1.6736472064836232	5.763094036541642	BUCUR SA Bucuresti			101.59622467999999
BVB	78.2	797282078.6	237878.32631578948	122.64768105623443	107.4052970230448	78.89568008139418	41.022029817227434	71.2326263017369		45.81163625628064	3.784925270802703	27.68169890789698	11.809924610288363	4.437107534995662	3.4741760307769285	6.806551071792947	10.826517987064715	2025-12-31	8.404547515839576	266.36786361355917	173.39361976321794	6.621549466274755	SC BURSA DE VALORI BUCURESTI SA			797.2820786
CAB	0.035	593231.4500000001	1560.3181111111116	-61.53846153846154	0	-28.509616941650616	-143.16411277746855				-0.08005804170219853	1036.652479974517	-0.32840696493754673		-189.03358371948693		-119.72495972643074	2024-12-31	0.25117013164563184				GOCAB SOFTWARE S.A.			0.5932314500000001
CACU	24.6	24249031.8	3421.8723684210527	18.26923076923077	11.818181818181817	-16.6914351234688	-63.356420469776225			57.3253676653105	1.0107882633334861	4.649932717012129	4.1978294325136725	1.76324776359899	1.681257928957416		40.623751536570374	2023-12-31	23.28771492778119		57.943808827372784	5.860171404170048	COMAT CLUJ SA CLUJ NAPOCA			24.2490318
CAIN	60	88003740	4465.185393258427	56.25	54.639175257731964	26.129558316081347	-25.375651239007			43.18180435352226	0.5438736965361581	0.35704093254033353	0.858888724501936	1.25949738478632	1.2550004635783578	57.68826797920167	50.5083594799427	2025-12-31	21.810420972802568		23.48544755685132	69.85771065372131	CASA ALBA - INDEPENDENTA SA SIBIU	1.5555555555555556	0.8974358974358974	88.00374
CAOR	1.71	54963574.11	1094.6871241830072	-18.571428571428573	-17.78846153846154	-46.29807848011215	-100.19707981043557				3.5094724123346612	15.260589983327513		-5.9204576422220825	-5.0169608763059905		-49.89520324113909	2025-12-31	29.576402681075077				SIF HOTELURI SA	9.041666666666668	12.690058479532166	54.963574109999996
CBC	25.2	124119122.39999999	5107.797183098592	-23.636363636363633	17.757009345794405	-10.752607595856212	-105.26201487537062	12.733570938493855			2.3750534955305547	42.21588475575725	0.9241192830090458	-3.1896893972967812	-1.8474244237881718		-5.895604168565268	2025-12-31	4.283250560161823			27.26920697720505	CARBOCHIM S.A.	2.8249999999999997	4.52	124.1191224
CBOT	30	31047660	418.1	-7.4074074074074066	-25	-53.50961694165062	-89.0330586464144			47.9284399930842	0.9561104233406331	43.92353893931571	-5.995847030017721	1.9948707353683832	1.1186529111298378	0.8272098303159003	0.3096500331111655	2025-12-31	0.14841043030825032		45.82488105184386		COMCEREAL SA BOTOSANI			31.04766
CC	13.8	180531586.20000002	64794.61893877552	93.27731092436977	93.27731092436977	64.76769398271915	11.651659685362773	106.74460725835142	209.39270298970533	4.431281805912741	2.7829736384741364	36.74193813345003	3.680657749629854	40.80730268935873	26.651018438435802	9.014069972494951	25.07458745612784	2025-12-31	1.1736797976875442	34.597317193554225	12.332140450505223	3.7493298586068757	CONNECTIONS CONSULT S.A.	5.670623145400593	2.7796363636363637	180.53158620000002
CCOM	0.0885	45837515.2125	1111.710169724771	10.624999999999996	22.06896551724138	-6.440651424409236	-71.000651239007				0.5769980744351753	13.514897178394742	0.09626271598807598	-1.496550298493105	-1.2942930644288022		-30.655355959046087	2025-12-31	11.819236130790134			0.9193590591290033	CEREALCOM SA ALEXANDRIA			45.8375152125
CEPO	4.64	6702452.159999999	2463.611020408163	-13.271028037383182	-9.019607843137257	-37.52922478478787	-94.89667927639019			26.410586218717857	0.6044566934914181	3.2345976475352005	3.57399199996677	2.2886909381171714	2.214660994873482	2.9371594988349097	4.838808395359927	2025-12-31	1.2779576632150915		15.964055618936209	1.2982681550611028	CEPROCIM SA BUCURESTI			6.702452159999999
CFED	2.24	2625687.68	1705.4759259259256	31.764705882352963	28.735632183908066	0.22601524225744996	-49.860945356654035				0.9500669504180467	7.357561203227701	0.8051556840149396	-16.779613610369047	-15.545043269321019		-2122.264427257334	2025-12-31	120.16327307674706			2.78207065350412	CONSTRUCTII FEROVIARE CRAIOVA SA CRAIOVA			2.62568768
CFH	36.5	2941900000	1024064.875923567	100	97.2972972972973	68.78768035564669	18.374348760993	7.272535405390079	53.222385338899784	24.198844601615242	6.69219269155552	44.056314123309264	0.4980424069478908	27.089750617108958	16.41004226244928	11.675261008020225	9.591343948893352	2025-12-31	2.506204246235982	115.23267097494305	161.94333098701728	73.2869319776999	Cris-Tim Family Holding			2941.9
CHIA	19	9907056	318.19	-26.923076923076927	-29.629629629629626	-58.13924657128024	-108.54872816208393			7.945757100372463	0.2326121302349144	46.795609468986605	-4.263990533615637	2.9275011467945644	1.5575591429404758	5.128105880589713	2.6961310015428785	2025-12-31	0.21422802049043646		1.848279485446835		CONSTRUCTII HIDROTEHNICE SA IASI			9.907056
